Page total likes;Type;Post Month;Post Weekday;Post Hour;Paid;Lifetime Post Total Reach;Lifetime Engaged Users;comment;like;share;Total Interactions
81370;Photo;1;4;4;;4188;564;0;90;14;104
81370;Photo;1;4;11;0;4156;626;4;79;17;100
81370;Photo;1;5;2;0;3778;625;5;137;10;152
81370;Photo;1;5;8;0;3480;537;0;66;14;80
81370;Photo;1;5;4;;4188;564;0;90;14;104
81370;Photo;1;4;11;0;4156;626;4;79;17;100
81370;Photo;1;5;2;0;3778;625;5;137;10;152
81370;Photo;1;5;8;0;3480;537;0;66;14;80
81370;Photo;1;4;11;;4188;564;0;90;14;104
81370;Photo;1;4;11;0;4156;626;4;79;17;100
81370;Photo;1;5;2;0;3778;625;5;137;10;152
81370;Photo;1;5;8;0;3480;537;0;66;14;80
81370;Photo;1;5;5;;4188;564;0;90;14;104
81370;Photo;1;4;11;0;4156;626;4;79;17;100
81370;Photo;1;5;2;0;3778;625;5;137;10;152
81370;Photo;1;5;8;0;3480;537;0;66;14;80
85093;Photo;1;1;2;0;8412;1179;19;325;49;393
85093;Photo;1;7;10;0;5400;810;3;113;26;142
85093;Photo;1;7;2;0;4684;733;0;88;18;106
85093;Photo;1;1;2;0;8412;1179;19;325;49;393
85093;Photo;1;7;10;0;5400;810;3;113;26;142
85093;Photo;1;7;2;0;4684;733;0;88;18;106
85093;Photo;1;1;2;0;8412;1179;19;325;49;393
85093;Photo;1;7;10;0;5400;810;3;113;26;142
85093;Photo;1;7;2;0;4684;733;0;88;18;106
85093;Photo;1;1;2;0;8412;1179;19;325;49;393
85093;Photo;1;7;10;0;5400;810;3;113;26;142
85093;Photo;1;7;2;0;4684;733;0;88;18;106
85979;Link;1;5;11;0;45920;753;58;1572;147;1777
85979;Photo;1;7;10;0;9700;1407;0;233;19;252
85979;Photo;1;6;3;1;6184;956;0;325;14;339
85979;Photo;1;6;11;0;5280;951;0;161;31;192
85979;Photo;1;1;12;0;5034;1020;3;249;27;279
85979;Photo;1;1;2;0;4908;957;1;152;33;186
85979;Photo;1;7;2;0;4800;975;5;130;29;164
85979;Link;1;5;11;0;45920;753;58;1572;147;1777
85979;Photo;1;7;10;0;9700;1407;0;233;19;252
85979;Photo;1;6;3;1;6184;956;0;325;14;339
85979;Photo;1;6;11;0;5280;951;0;161;31;192
85979;Photo;1;1;12;0;5034;1020;3;249;27;279
85979;Photo;1;1;2;0;4908;957;1;152;33;186
85979;Photo;1;7;2;0;4800;975;5;130;29;164
85979;Link;1;5;11;0;45920;753;58;1572;147;1777
85979;Photo;1;7;10;0;9700;1407;0;233;19;252
85979;Photo;1;6;3;1;6184;956;0;325;14;339
85979;Photo;1;6;11;0;5280;951;0;161;31;192
85979;Photo;1;1;12;0;5034;1020;3;249;27;279
85979;Photo;1;1;2;0;4908;957;1;152;33;186
85979;Photo;1;7;2;0;4800;975;5;130;29;164
85979;Link;1;5;11;0;45920;753;58;1572;147;1777
85979;Photo;1;7;10;0;9700;1407;0;233;19;252
85979;Photo;1;6;3;1;6184;956;0;325;14;339
85979;Photo;1;6;11;0;5280;951;0;161;31;192
85979;Photo;1;1;12;0;5034;1020;3;249;27;279
85979;Photo;1;1;2;0;4908;957;1;152;33;186
85979;Photo;1;7;2;0;4800;975;5;130;29;164
86491;Photo;1;3;10;0;66784;2969;2;56;17;75
86491;Photo;1;3;3;0;5526;1096;1;44;14;59
86491;Link;1;2;2;0;5168;66;4;98;23;125
86491;Photo;1;2;7;0;5040;1062;0;96;17;113
86491;Link;1;4;4;1;4938;66;1;27;11;39
86491;Photo;1;3;10;0;66784;2969;2;56;17;75
86491;Photo;1;3;3;0;5526;1096;1;44;14;59
86491;Link;1;2;2;0;5168;66;4;98;23;125
86491;Photo;1;2;7;0;5040;1062;0;96;17;113
86491;Link;1;4;4;1;4938;66;1;27;11;39
86491;Photo;1;3;10;0;66784;2969;2;56;17;75
86491;Photo;1;3;3;0;5526;1096;1;44;14;59
86491;Link;1;2;2;0;5168;66;4;98;23;125
86491;Photo;1;2;7;0;5040;1062;0;96;17;113
86491;Link;1;4;4;1;4938;66;1;27;11;39
86491;Photo;1;3;10;0;66784;2969;2;56;17;75
86491;Photo;1;3;3;0;5526;1096;1;44;14;59
86491;Link;1;2;2;0;5168;66;4;98;23;125
86491;Photo;1;2;7;0;5040;1062;0;96;17;113
86491;Link;1;4;4;1;4938;66;1;27;11;39
86909;Link;1;6;4;0;39600;572;11;227;31;269
86909;Photo;1;6;10;1;37088;2728;7;216;39;262
86909;Photo;1;4;11;0;11484;1762;36;523;63;622
86909;Photo;1;5;4;0;6056;1117;2;155;47;204
86909;Photo;1;6;16;1;5754;1179;33;107;22;162
86909;Photo;1;5;13;0;5536;1141;6;172;21;199
86909;Link;1;6;4;0;39600;572;11;227;31;269
86909;Photo;1;6;10;1;37088;2728;7;216;39;262
86909;Photo;1;4;11;0;11484;1762;36;523;63;622
86909;Photo;1;5;4;0;6056;1117;2;155;47;204
86909;Photo;1;6;16;1;5754;1179;33;107;22;162
86909;Photo;1;5;13;0;5536;1141;6;172;21;199
86909;Link;1;6;4;0;39600;572;11;227;31;269
86909;Photo;1;6;10;1;37088;2728;7;216;39;262
86909;Photo;1;4;11;0;11484;1762;36;523;63;622
86909;Photo;1;5;4;0;6056;1117;2;155;47;204
86909;Photo;1;6;16;1;5754;1179;33;107;22;162
86909;Photo;1;5;13;0;5536;1141;6;172;21;199
86909;Link;1;6;4;0;39600;572;11;227;31;269
86909;Photo;1;6;10;1;37088;2728;7;216;39;262
86909;Photo;1;4;11;0;11484;1762;36;523;63;622
86909;Photo;1;5;4;0;6056;1117;2;155;47;204
86909;Photo;1;6;16;1;5754;1179;33;107;22;162
86909;Photo;1;5;13;0;5536;1141;6;172;21;199
91009;Photo;2;1;12;0;21928;1512;6;187;18;211
91009;Photo;2;1;12;0;21928;1512;6;187;18;211
91009;Photo;2;1;12;0;21928;1512;6;187;18;211
91009;Photo;2;1;12;0;21928;1512;6;187;18;211
91116;Photo;2;2;4;1;7132;1004;16;76;8;100
91116;Photo;2;2;4;1;7132;1004;16;76;8;100
91116;Photo;2;2;4;1;7132;1004;16;76;8;100
91116;Photo;2;2;4;1;7132;1004;16;76;8;100
91223;Photo;2;2;13;0;5240;857;18;143;13;174
91223;Photo;2;2;13;0;5240;857;18;143;13;174
91223;Photo;2;2;13;0;5240;857;18;143;13;174
91223;Photo;2;2;13;0;5240;857;18;143;13;174
91330;Photo;2;3;3;0;7732;1066;0;100;17;117
91330;Photo;2;3;3;0;7732;1066;0;100;17;117
91330;Photo;2;3;3;0;7732;1066;0;100;17;117
91330;Photo;2;3;3;0;7732;1066;0;100;17;117
91437;Link;2;3;13;0;9356;448;0;88;18;106
91437;Link;2;3;13;0;9356;448;0;88;18;106
91437;Link;2;3;13;0;9356;448;0;88;18;106
91437;Link;2;3;13;0;9356;448;0;88;18;106
91544;Photo;2;4;3;0;9528;1245;10;412;72;494
91544;Photo;2;4;3;0;9528;1245;10;412;72;494
91544;Photo;2;4;3;0;9528;1245;10;412;72;494
91544;Photo;2;4;3;0;9528;1245;10;412;72;494
91651;Photo;2;4;12;0;15288;1573;0;0;0;0
91651;Photo;2;4;12;0;15288;1573;0;0;0;0
91651;Photo;2;4;12;0;15288;1573;0;0;0;0
91651;Photo;2;4;12;0;15288;1573;0;0;0;0
91758;Photo;2;5;3;1;15880;1188;0;34;8;42
91758;Photo;2;5;3;1;15880;1188;0;34;8;42
91758;Photo;2;5;3;1;15880;1188;0;34;8;42
91758;Photo;2;5;3;1;15880;1188;0;34;8;42
91865;Photo;2;5;13;1;4840;949;2;40;12;54
91865;Photo;2;5;13;1;4840;949;2;40;12;54
91865;Photo;2;5;13;1;4840;949;2;40;12;54
91865;Photo;2;5;13;1;4840;949;2;40;12;54
91972;Photo;2;6;3;0;6484;1166;0;72;24;96
91972;Photo;2;6;3;0;6484;1166;0;72;24;96
91972;Photo;2;6;3;0;6484;1166;0;72;24;96
91972;Photo;2;6;3;0;6484;1166;0;72;24;96
92079;Photo;2;6;13;0;158208;2482;3;66;12;81
92079;Photo;2;6;13;0;158208;2482;3;66;12;81
92079;Photo;2;6;13;0;158208;2482;3;66;12;81
92079;Photo;2;6;13;0;158208;2482;3;66;12;81
92186;Photo;2;7;2;1;153536;1713;0;16;2;18
92186;Photo;2;7;2;1;153536;1713;0;16;2;18
92186;Photo;2;7;2;1;153536;1713;0;16;2;18
92186;Photo;2;7;2;1;153536;1713;0;16;2;18
92293;Photo;2;7;13;1;10040;1429;4;54;17;75
92293;Photo;2;7;13;1;10040;1429;4;54;17;75
92293;Photo;2;7;13;1;10040;1429;4;54;17;75
92293;Photo;2;7;13;1;10040;1429;4;54;17;75
92400;Photo;2;1;4;0;5880;1291;3;99;19;121
92400;Photo;2;1;4;0;5880;1291;3;99;19;121
92400;Photo;2;1;4;0;5880;1291;3;99;19;121
92400;Photo;2;1;4;0;5880;1291;3;99;19;121
92507;Photo;2;1;13;0;55520;4544;4;86;18;108
92507;Photo;2;1;13;0;55520;4544;4;86;18;108
92507;Photo;2;1;13;0;55520;4544;4;86;18;108
92507;Photo;2;1;13;0;55520;4544;4;86;18;108
92614;Photo;2;2;3;1;5290;1053;2;577;20;599
92614;Photo;2;2;3;1;5290;1053;2;577;20;599
92614;Photo;2;2;3;1;5290;1053;2;577;20;599
92614;Photo;2;2;3;1;5290;1053;2;577;20;599
92721;Photo;2;2;13;0;7228;1239;15;678;20;713
92721;Photo;2;2;13;0;7228;1239;15;678;20;713
92721;Photo;2;2;13;0;7228;1239;15;678;20;713
92721;Photo;2;2;13;0;7228;1239;15;678;20;713
92828;Photo;2;3;6;0;28128;2283;1;12;1;14
92828;Photo;2;3;6;0;28128;2283;1;12;1;14
92828;Photo;2;3;6;0;28128;2283;1;12;1;14
92828;Photo;2;3;6;0;28128;2283;1;12;1;14
92935;Photo;2;3;9;1;3796;949;1;48;9;58
92935;Photo;2;3;9;1;3796;949;1;48;9;58
92935;Photo;2;3;9;1;3796;949;1;48;9;58
92935;Photo;2;3;9;1;3796;949;1;48;9;58
93042;Photo;2;3;13;0;8500;1095;6;18;8;32
93042;Photo;2;3;13;0;8500;1095;6;18;8;32
93042;Photo;2;3;13;0;8500;1095;6;18;8;32
93042;Photo;2;3;13;0;8500;1095;6;18;8;32
93149;Photo;2;4;3;0;9528;1383;7;29;10;46
93149;Photo;2;4;3;0;9528;1383;7;29;10;46
93149;Photo;2;4;3;0;9528;1383;7;29;10;46
93149;Photo;2;4;3;0;9528;1383;7;29;10;46
93256;Photo;2;4;12;0;5878;1132;0;77;15;92
93256;Photo;2;4;12;0;5878;1132;0;77;15;92
93256;Photo;2;4;12;0;5878;1132;0;77;15;92
93256;Photo;2;4;12;0;5878;1132;0;77;15;92
93363;Photo;2;5;6;0;5786;1237;0;47;11;58
93363;Photo;2;5;6;0;5786;1237;0;47;11;58
93363;Photo;2;5;6;0;5786;1237;0;47;11;58
93363;Photo;2;5;6;0;5786;1237;0;47;11;58
93470;Photo;2;5;12;0;6416;1362;7;26;3;36
93470;Photo;2;5;12;0;6416;1362;7;26;3;36
93470;Photo;2;5;12;0;6416;1362;7;26;3;36
93470;Photo;2;5;12;0;6416;1362;7;26;3;36
93577;Photo;2;6;6;0;20528;1876;4;57;10;71
93577;Photo;2;6;6;0;20528;1876;4;57;10;71
93577;Photo;2;6;6;0;20528;1876;4;57;10;71
93577;Photo;2;6;6;0;20528;1876;4;57;10;71
93684;Photo;2;6;13;1;27056;2299;4;174;36;214
93684;Photo;2;6;13;1;27056;2299;4;174;36;214
93684;Photo;2;6;13;1;27056;2299;4;174;36;214
93684;Photo;2;6;13;1;27056;2299;4;174;36;214
96749;Photo;3;1;2;1;98816;11452;2;164;54;220
96749;Photo;3;7;5;1;14320;1850;9;202;31;242
96749;Photo;3;7;10;1;7220;2348;4;64;19;87
96749;Photo;3;2;9;0;5338;589;0;40;13;53
96749;Photo;3;2;5;0;5312;603;4;66;13;83
96749;Photo;3;1;13;1;4412;711;3;76;11;90
96749;Photo;3;1;2;1;98816;11452;2;164;54;220
96749;Photo;3;7;5;1;14320;1850;9;202;31;242
96749;Photo;3;7;10;1;7220;2348;4;64;19;87
96749;Photo;3;2;9;0;5338;589;0;40;13;53
96749;Photo;3;2;5;0;5312;603;4;66;13;83
96749;Photo;3;1;13;1;4412;711;3;76;11;90
96749;Photo;3;1;2;1;98816;11452;2;164;54;220
96749;Photo;3;7;5;1;14320;1850;9;202;31;242
96749;Photo;3;7;10;1;7220;2348;4;64;19;87
96749;Photo;3;2;9;0;5338;589;0;40;13;53
96749;Photo;3;2;5;0;5312;603;4;66;13;83
96749;Photo;3;1;13;1;4412;711;3;76;11;90
96749;Photo;3;1;2;1;98816;11452;2;164;54;220
96749;Photo;3;7;5;1;14320;1850;9;202;31;242
96749;Photo;3;7;10;1;7220;2348;4;64;19;87
96749;Photo;3;2;9;0;5338;589;0;40;13;53
96749;Photo;3;2;5;0;5312;603;4;66;13;83
96749;Photo;3;1;13;1;4412;711;3;76;11;90
98195;Photo;3;4;13;0;34480;1591;0;53;17;70
98195;Link;3;6;6;0;5730;103;0;48;7;55
98195;Photo;3;6;3;0;4898;560;4;139;17;160
98195;Photo;3;5;10;0;4118;546;24;285;28;337
98195;Photo;3;5;4;1;1845;9;2;65;14;81
98195;Photo;3;4;13;0;34480;1591;0;53;17;70
98195;Link;3;6;6;0;5730;103;0;48;7;55
98195;Photo;3;6;3;0;4898;560;4;139;17;160
98195;Photo;3;5;10;0;4118;546;24;285;28;337
98195;Photo;3;5;4;1;1845;9;2;65;14;81
98195;Photo;3;4;13;0;34480;1591;0;53;17;70
98195;Link;3;6;6;0;5730;103;0;48;7;55
98195;Photo;3;6;3;0;4898;560;4;139;17;160
98195;Photo;3;5;10;0;4118;546;24;285;28;337
98195;Photo;3;5;4;1;1845;9;2;65;14;81
98195;Photo;3;4;13;0;34480;1591;0;53;17;70
98195;Link;3;6;6;0;5730;103;0;48;7;55
98195;Photo;3;6;3;0;4898;560;4;139;17;160
98195;Photo;3;5;10;0;4118;546;24;285;28;337
98195;Photo;3;5;4;1;1845;9;2;65;14;81
100732;Photo;3;6;10;0;122944;1373;2;99;13;114
100732;Photo;3;6;17;0;11420;1411;14;172;47;233
100732;Photo;3;7;17;0;10844;1409;3;226;44;273
100732;Photo;3;6;13;1;9604;1061;7;84;28;119
100732;Photo;3;6;15;0;7192;587;0;0;0;0
100732;Photo;3;6;15;0;5704;452;20;697;70;787
100732;Photo;3;7;15;0;5132;398;8;144;10;162
100732;Photo;3;7;12;0;4094;206;10;179;13;202
100732;Photo;3;7;15;0;3772;144;4;219;22;245
100732;Link;3;7;14;0;2933;24;8;101;14;123
100732;Photo;3;6;17;0;452;186;19;77;23;119
100732;Photo;3;7;18;0;391;131;2;60;7;69
100732;Photo;3;6;10;0;122944;1373;2;99;13;114
100732;Photo;3;6;17;0;11420;1411;14;172;47;233
100732;Photo;3;7;17;0;10844;1409;3;226;44;273
100732;Photo;3;6;13;1;9604;1061;7;84;28;119
100732;Photo;3;6;15;0;7192;587;0;0;0;0
100732;Photo;3;6;15;0;5704;452;20;697;70;787
100732;Photo;3;7;15;0;5132;398;8;144;10;162
100732;Photo;3;7;12;0;4094;206;10;179;13;202
100732;Photo;3;7;15;0;3772;144;4;219;22;245
100732;Link;3;7;14;0;2933;24;8;101;14;123
100732;Photo;3;6;17;0;452;186;19;77;23;119
100732;Photo;3;7;18;0;391;131;2;60;7;69
100732;Photo;3;6;10;0;122944;1373;2;99;13;114
100732;Photo;3;6;17;0;11420;1411;14;172;47;233
100732;Photo;3;7;17;0;10844;1409;3;226;44;273
100732;Photo;3;6;13;1;9604;1061;7;84;28;119
100732;Photo;3;6;15;0;7192;587;0;0;0;0
100732;Photo;3;6;15;0;5704;452;20;697;70;787
100732;Photo;3;7;15;0;5132;398;8;144;10;162
100732;Photo;3;7;12;0;4094;206;10;179;13;202
100732;Photo;3;7;15;0;3772;144;4;219;22;245
100732;Link;3;7;14;0;2933;24;8;101;14;123
100732;Photo;3;6;17;0;452;186;19;77;23;119
100732;Photo;3;7;18;0;391;131;2;60;7;69
100732;Photo;3;6;10;0;122944;1373;2;99;13;114
100732;Photo;3;6;17;0;11420;1411;14;172;47;233
100732;Photo;3;7;17;0;10844;1409;3;226;44;273
100732;Photo;3;6;13;1;9604;1061;7;84;28;119
100732;Photo;3;6;15;0;7192;587;0;0;0;0
100732;Photo;3;6;15;0;5704;452;20;697;70;787
100732;Photo;3;7;15;0;5132;398;8;144;10;162
100732;Photo;3;7;12;0;4094;206;10;179;13;202
100732;Photo;3;7;15;0;3772;144;4;219;22;245
100732;Link;3;7;14;0;2933;24;8;101;14;123
100732;Photo;3;6;17;0;452;186;19;77;23;119
100732;Photo;3;7;18;0;391;131;2;60;7;69
102112;Link;3;1;3;0;6876;282;2;29;7;38
102112;Photo;3;1;18;0;6400;735;2;101;19;122
102112;Photo;3;3;4;0;5080;523;10;140;8;158
102112;Photo;3;3;10;0;4122;466;3;30;6;39
102112;Photo;3;2;12;0;4068;538;0;56;8;64
102112;Photo;3;1;18;0;3358;541;17;449;84;550
102112;Photo;3;2;3;0;3272;463;7;146;9;162
102112;Photo;3;1;19;0;238;143;20;411;74;505
102112;Link;3;1;3;0;6876;282;2;29;7;38
102112;Photo;3;1;18;0;6400;735;2;101;19;122
102112;Photo;3;3;4;0;5080;523;10;140;8;158
102112;Photo;3;3;10;0;4122;466;3;30;6;39
102112;Photo;3;2;12;0;4068;538;0;56;8;64
102112;Photo;3;1;18;0;3358;541;17;449;84;550
102112;Photo;3;2;3;0;3272;463;7;146;9;162
102112;Photo;3;1;19;0;238;143;20;411;74;505
102112;Link;3;1;3;0;6876;282;2;29;7;38
102112;Photo;3;1;18;0;6400;735;2;101;19;122
102112;Photo;3;3;4;0;5080;523;10;140;8;158
102112;Photo;3;3;10;0;4122;466;3;30;6;39
102112;Photo;3;2;12;0;4068;538;0;56;8;64
102112;Photo;3;1;18;0;3358;541;17;449;84;550
102112;Photo;3;2;3;0;3272;463;7;146;9;162
102112;Photo;3;1;19;0;238;143;20;411;74;505
102112;Link;3;1;3;0;6876;282;2;29;7;38
102112;Photo;3;1;18;0;6400;735;2;101;19;122
102112;Photo;3;3;4;0;5080;523;10;140;8;158
102112;Photo;3;3;10;0;4122;466;3;30;6;39
102112;Photo;3;2;12;0;4068;538;0;56;8;64
102112;Photo;3;1;18;0;3358;541;17;449;84;550
102112;Photo;3;2;3;0;3272;463;7;146;9;162
102112;Photo;3;1;19;0;238;143;20;411;74;505
104070;Photo;3;4;7;0;49632;1653;2;86;13;101
104070;Status;3;3;15;0;9120;951;2;99;16;117
104070;Photo;3;4;14;1;6030;735;18;370;53;441
104070;Photo;3;5;14;1;3696;517;5;190;57;252
104070;Photo;3;3;10;0;1874;25;3;270;38;311
104070;Photo;3;4;7;0;49632;1653;2;86;13;101
104070;Status;3;3;15;0;9120;951;2;99;16;117
104070;Photo;3;4;14;1;6030;735;18;370;53;441
104070;Photo;3;5;14;1;3696;517;5;190;57;252
104070;Photo;3;3;10;0;1874;25;3;270;38;311
104070;Photo;3;4;7;0;49632;1653;2;86;13;101
104070;Status;3;3;15;0;9120;951;2;99;16;117
104070;Photo;3;4;14;1;6030;735;18;370;53;441
104070;Photo;3;5;14;1;3696;517;5;190;57;252
104070;Photo;3;3;10;0;1874;25;3;270;38;311
104070;Photo;3;4;7;0;49632;1653;2;86;13;101
104070;Status;3;3;15;0;9120;951;2;99;16;117
104070;Photo;3;4;14;1;6030;735;18;370;53;441
104070;Photo;3;5;14;1;3696;517;5;190;57;252
104070;Photo;3;3;10;0;1874;25;3;270;38;311
106928;Link;4;6;4;0;34192;338;2;124;22;148
106928;Photo;4;5;3;0;5560;642;2;111;16;129
106928;Photo;4;5;13;0;5302;624;0;78;13;91
106928;Photo;4;4;3;1;5290;612;3;51;11;65
106928;Photo;4;4;13;0;4406;477;4;85;8;97
106928;Photo;4;6;9;1;2970;421;2;130;31;163
106928;Link;4;6;4;0;34192;338;2;124;22;148
106928;Photo;4;5;3;0;5560;642;2;111;16;129
106928;Photo;4;5;13;0;5302;624;0;78;13;91
106928;Photo;4;4;3;1;5290;612;3;51;11;65
106928;Photo;4;4;13;0;4406;477;4;85;8;97
106928;Photo;4;6;9;1;2970;421;2;130;31;163
106928;Link;4;6;4;0;34192;338;2;124;22;148
106928;Photo;4;5;3;0;5560;642;2;111;16;129
106928;Photo;4;5;13;0;5302;624;0;78;13;91
106928;Photo;4;4;3;1;5290;612;3;51;11;65
106928;Photo;4;4;13;0;4406;477;4;85;8;97
106928;Photo;4;6;9;1;2970;421;2;130;31;163
106928;Link;4;6;4;0;34192;338;2;124;22;148
106928;Photo;4;5;3;0;5560;642;2;111;16;129
106928;Photo;4;5;13;0;5302;624;0;78;13;91
106928;Photo;4;4;3;1;5290;612;3;51;11;65
106928;Photo;4;4;13;0;4406;477;4;85;8;97
106928;Photo;4;6;9;1;2970;421;2;130;31;163
107907;Photo;4;5;9;0;71360;1784;26;1505;95;1626
107907;Link;4;2;6;0;70912;1374;12;328;90;430
107907;Photo;4;3;13;1;46192;1364;7;310;61;378
107907;Photo;4;3;4;1;39568;741;9;181;32;222
107907;Photo;4;4;13;0;6360;715;4;59;9;72
107907;Photo;4;7;3;0;4770;494;2;63;14;79
107907;Photo;4;1;3;0;4552;471;0;13;4;17
107907;Photo;4;7;10;0;4390;484;0;0;0;0
107907;Photo;4;7;13;0;4240;601;13;331;77;421
107907;Photo;4;5;3;0;3824;666;9;301;32;342
107907;Photo;4;4;5;1;3714;537;5;153;27;185
107907;Photo;4;6;9;0;3544;509;2;107;17;126
107907;Photo;4;6;3;1;3286;504;1;115;26;142
107907;Photo;4;5;9;0;71360;1784;26;1505;95;1626
107907;Link;4;2;6;0;70912;1374;12;328;90;430
107907;Photo;4;3;13;1;46192;1364;7;310;61;378
107907;Photo;4;3;4;1;39568;741;9;181;32;222
107907;Photo;4;4;13;0;6360;715;4;59;9;72
107907;Photo;4;7;3;0;4770;494;2;63;14;79
107907;Photo;4;1;3;0;4552;471;0;13;4;17
107907;Photo;4;7;10;0;4390;484;0;0;0;0
107907;Photo;4;7;13;0;4240;601;13;331;77;421
107907;Photo;4;5;3;0;3824;666;9;301;32;342
107907;Photo;4;4;5;1;3714;537;5;153;27;185
107907;Photo;4;6;9;0;3544;509;2;107;17;126
107907;Photo;4;6;3;1;3286;504;1;115;26;142
107907;Photo;4;5;9;0;71360;1784;26;1505;95;1626
107907;Link;4;2;6;0;70912;1374;12;328;90;430
107907;Photo;4;3;13;1;46192;1364;7;310;61;378
107907;Photo;4;3;4;1;39568;741;9;181;32;222
107907;Photo;4;4;13;0;6360;715;4;59;9;72
